2010/1/1,2010/4/1,2010/7/1,2010/10/1,2011/1/1,2011/4/1,2011/7/1,2011/10/1,2012/1/1,2012/4/1,2012/7/1,2012/10/1,2013/1/1,2013/4/1,2013/7/1,2013/10/1,2014/1/1,2014/4/1,2014/7/1,2014/10/1,2015/1/1,2015/4/1,2015/7/1,2015/10/1,2016/1/1,2016/4/1,2016/7/1,2016/10/1,2017/1/1,2017/4/1,2017/7/1,2017/10/1,2018/1/1
0202445Q,0202445Q,0202445Q,0203524D,0203524D,0203524D,0203524D,0848680D,0867887D,0867887D,0961514D,1086832D,1255459D,1255459D,1255459D,1284849D,1284849D,1288453D,1288453D,1288453D,1288453D,1436513D,1448062D,1500785D,1500785D,1500785D,1518855D,1539941D,1539941D,A,AAL,AAL,AAL
0203524D,0203524D,0203524D,0772031D,0772031D,0848680D,0848680D,0867887D,0961514D,0961514D,1086832D,1255459D,1284849D,1284849D,1284849D,1288453D,1288453D,1431816D,1436513D,1436513D,1436513D,1448062D,1500785D,1518855D,1518855D,1518855D,1539941D,A,A,AAL,AAP,AAP,AAP
0772031D,0772031D,0772031D,0848680D,0848680D,0867887D,0867887D,0961514D,1086832D,1086832D,1255459D,1284849D,1288453D,1288453D,1288453D,1431816D,1431816D,1436513D,1448062D,1448062D,1448062D,1500785D,1518855D,1539941D,1539941D,1539941D,A,AA,AAL,AAP,AAPL,AAPL,AAPL
0848680D,0848680D,0848680D,0961514D,0961514D,0961514D,0961514D,1086832D,1255459D,1255459D,1284849D,1288453D,1431816D,1431816D,1431816D,1436513D,1436513D,1448062D,1500785D,1500785D,1500785D,1518855D,1539941D,1541931D,1566019D,1566019D,AA,AAL,AAP,AAPL,ABBV,ABBV,ABBV
0961514D,0961514D,0961514D,1086832D,1086832D,1086832D,1086832D,1255459D,1280712D,1280712D,1288453D,1431816D,1436513D,1436513D,1436513D,1448062D,1448062D,1500785D,1518855D,1518855D,1518855D,1539941D,1541931D,1566019D,9876566D,A,AAL,AAP,AAPL,ABBV,ABC,ABC,ABC
1086832D,1086832D,1086832D,1255459D,1255459D,1255459D,1255459D,1280712D,1284849D,1284849D,1431816D,1436513D,1448062D,1448062D,1448062D,1500785D,1500785D,1518855D,1539941D,1539941D,1539941D,1541931D,1566019D,9876566D,A,AA,AAP,AAPL,ABBV,ABC,ABT,ABT,ABT
1255459D,1255459D,1255459D,1280712D,1280712D,1280712D,1280712D,1284849D,1431816D,1431816D,1436513D,1448062D,1500785D,1500785D,1500785D,1518855D,1518855D,1539941D,1541931D,1541931D,1541931D,1566019D,9876549D,A,AA,AAL,AAPL,ABBV,ABC,ABT,ACN,ACN,ACN
1280712D,1280712D,1280712D,1284849D,1284849D,1284849D,1284849D,1431816D,1436513D,1436513D,1448062D,1500785D,1518855D,1518855D,1518855D,1539941D,1539941D,1541931D,1566019D,1566019D,1566019D,9876549D,9876566D,AA,AAL,AAP,ABBV,ABC,ABT,ACN,ADBE,ADBE,ADBE
1284849D,1284849D,1284849D,1431816D,1431816D,1431816D,1431816D,1436513D,1448062D,1448062D,1500785D,1518855D,1539941D,1539941D,1539941D,1541931D,1541931D,1566019D,9876549D,9876549D,9876549D,9876566D,A,AAL,AAP,AAPL,ABC,ABT,ACN,ADBE,ADI,ADI,ADI
1431816D,1431816D,1431816D,1436513D,1436513D,1436513D,1436513D,1448062D,1500785D,1500785D,1518855D,1539941D,1541931D,1541931D,1541931D,1566019D,1566019D,9876544D,9876566D,9876566D,9876566D,A,AA,AAP,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADM,ADM,ADM
