Date,S&P,ADBE,AMD,CAT,XTO,XYL
20100104,0.015916082,0.008392683,0.002063869,0.027005059,0.01789198,
20100105,0.003110832,0.016312229,0.001030469,0.011885092,0.006313031,
20100106,0.000545372,-0.002124255,-0.014522949,0.003033395,0.006899146,
20100107,0.003993217,-0.019595749,-0.010503974,0.004029869,-0.000208022,
20100108,0.002877583,-0.005436752,-0.004232946,0.011165434,-0.006270619,
20100111,0.001745231,-0.013169336,-0.031235798,0.060917285,0.010637224,
20100112,-0.009425445,-0.015305534,-0.055101589,-0.029913995,-0.003533235,
20100113,0.008291457,0.017236593,0.056194116,0.001444956,-0.002919257,
20100114,0.002423486,-0.010529238,-0.016528852,-0.005630823,0.000625804,
20100115,-0.010882126,-0.00083635,-0.017937927,-0.030469517,-0.011966312,
20100119,0.012422151,0.029664622,0.019048421,0.013383046,0.003162992,
20100120,-0.010654386,-0.012527138,-0.01565998,-0.019388753,-0.012712462,
20100121,-0.019126658,-0.018531655,0.0134383,-0.049920553,-0.017421884,
20100122,-0.022389779,-0.041031391,-0.131785489,-0.04681282,-0.010468605,
20100125,0.004587559,-0.006419561,0.023825896,0.016272876,0.000218976,
20100126,-0.004212057,-0.006460826,0.002474935,0.012793809,0.000218976,
20100127,0.004868283,-0.02385324,0.012285227,-0.044109685,-0.004832659,
20100128,-0.011888126,-0.0075726,-0.038585955,-0.030011885,-0.008403208,
20100129,-0.009877799,-0.018101854,-0.05477197,0.007300288,-0.010267531,
20100201,0.014165306,0.005557528,0.06738291,0.013311014,0.031145892,
20100202,0.01288952,0.015276715,-0.0088107,0.011456127,0.013608976,
20100203,-0.00548935,0,-0.01272259,-0.002992473,-0.004731174,
20100204,-0.031635856,-0.022693562,-0.082713354,-0.037985396,-0.03220093,
20100205,0.00289293,0.016305342,0.022009015,0.006785923,0.001779416,
20100208,-0.008902803,-0.022215957,0.009478933,-0.018921895,-0.000667223,
20100209,0.012955842,0.008079275,0.01604361,0.052739498,0.01456935,
20100210,-0.00223507,0.013831897,0.013175816,-0.007124318,-0.007037707,
20100211,0.009633883,-0.003669725,0.025841221,0.054908551,0.0068187,
20100212,-0.002748366,-0.037139201,0.003819696,0.000889604,0.000218976,
20100216,0.017840653,0.011381979,0.023855189,0.016237456,0.019102382,
20100217,0.004229005,0.016214826,-0.003728944,0.006630966,-0.009722107,
20100218,0.006563157,0.027758153,-0.010012963,0.005376521,0.002818026,
20100219,0.002184235,0.019070987,-0.00251917,0.007582182,-0.0019499,
20100222,-0.001046405,-0.005327164,-0.003790174,-0.003784151,-0.008277161,
20100223,-0.012176644,-0.007744915,-0.014021848,-0.023891134,-0.005262824,
20100224,0.009673519,0.032654975,0.032831112,0.005281031,0.010498695,
20100225,-0.002083208,0.000288958,-0.020076185,-0.002989464,-0.005235682,
20100226,0.001404392,0.002600615,0.002531792,0.004567553,-0.000437096,
20100301,0.010107258,0.006902125,0.037225455,0.013925587,0.004149379,
20100302,0.002327732,-0.004308267,0.020494545,0.005172599,0.001523838,
20100303,0.000429109,0.002300352,-0.003586424,0.007197039,0.000869622,
20100304,0.003729156,0.003440076,0.017804554,-0.002051102,0.000216976,
20100305,0.013910283,0.006277257,0.012857981,0.01325674,0.017451827,
20100308,-0.000175611,-0.002848052,0.003477945,-0.005417649,0.000853636,
20100309,0.001711272,0.001709538,-0.00115767,0.00457253,0.005320819,
20100310,0.004514355,0.000853636,0.033051724,-0.006781945,0.005503826,
20100311,0.004033374,0.001989021,0.003357358,0.002039918,0.000210978,
20100312,-0.00021737,-0.001705453,-0.002237501,0.024485762,-0.005927533,
20100315,0.000452093,0.009342225,-0.001120628,-0.014854788,-0.00831447,
20100316,0.007749015,-0.01333147,0.052414066,-0.000336056,0.008526545,
20100317,0.005804796,0.013331736,0.028318227,0.01286884,0.010137442,
20100318,-0.000325899,0.007299295,-0.029383498,-0.007501063,-0.002313674,
20100319,-0.005099427,-0.030675726,-0.030272627,-0.006714492,-0.005703233,
20100322,0.00508236,0.008043564,0.021716481,0.009721592,0.000846641,
20100323,0.007145378,0.007695315,0.01492605,0.04021445,0.000422911,
20100324,-0.005508448,0.035972173,-0.02355526,-0.005623784,-0.007431546,
20100325,-0.001705622,-0.017684452,-0.021906198,0.00128817,-0.003629579,
20100326,0.000737451,-0.0100867,-0.001107613,0.004816383,0.002563711,
20100329,0.005667146,0.006456114,0.009928548,0.01651881,0.011033902,
20100330,4.27E-05,-0.001680411,0.017410553,-0.005053749,-0.004017058,
20100331,-0.003278243,-0.008725961,0,-0.004920084,-0.00042409,
