Date,S&P,AAPL,AMD,AMZN,C,CAT,CME
20100104,0.015916082,0.015435261,0.002063869,-0.004619654,0.026826919,0.027005059,0.019017025
20100105,0.003110832,0.001727507,0.001030469,0.005882663,0.037522156,0.011885092,-0.000818335
20100106,0.000545372,-0.016033858,-0.014522949,-0.018282104,0.030685352,0.003033395,-0.006804095
20100107,0.003993217,-0.001850712,-0.010503974,-0.017159384,0.002743234,0.004029869,0.001235237
20100108,0.002877583,0.006626,-0.004232946,0.026716904,-0.016574603,0.011165434,0.026366333
20100111,0.001745231,-0.008861144,-0.031235798,-0.024350071,0.011080385,0.060917285,-0.00020002
20100112,-0.009425445,-0.01144019,-0.055101589,-0.022961612,-0.030771627,-0.029913995,-0.020480297
20100113,0.008291457,0.014007436,0.056194116,0.013725375,-0.005698204,0.001444956,0.003093211
20100114,0.002423486,-0.005808839,-0.016528852,-0.013725769,0.002852927,-0.005630823,-0.004321323
20100115,-0.010882126,-0.016853221,-0.017937927,-0.001650361,-0.02597546,-0.030469517,-0.013284854
20100119,0.012422151,0.043287433,0.019048421,0.003690183,0.034486447,0.013383046,0.00281304
20100120,-0.010654386,-0.015536062,-0.01565998,-0.014444826,-0.022858271,-0.019388753,-0.024545798
20100121,-0.019126658,-0.017404585,0.0134383,0.006655801,-0.056478292,-0.049920553,-0.059205567
20100122,-0.022389779,-0.050880748,-0.131785489,-0.041852734,-0.006134779,-0.04681282,0.003562646
20100125,0.004587559,0.026571821,0.023825896,-0.009265795,-0.006173014,0.016272876,-0.016604088
20100126,-0.004212057,0.014009408,0.002474935,-0.006922908,-0.025079888,0.012793809,-0.070124226
20100127,0.004868283,0.009395722,0.012285227,0.027001165,0.015748341,-0.044109685,0.028011003
20100128,-0.011888126,-0.042218803,-0.038585955,0.026370229,0.01242252,-0.030011885,-0.013063963
20100129,-0.009877799,-0.036937881,-0.05477197,-0.004931138,0.024391104,0.007300288,-0.01278336
20100201,0.014165306,0.013790473,0.06738291,-0.053557962,0.006005928,0.013311014,0.015224517
20100202,0.01288952,0.005786227,-0.0088107,-0.006328986,0.020741402,0.011456127,0.006809761
20100203,-0.00548935,0.017059653,-0.01272259,0.008262769,-0.011799339,-0.002992473,-0.003759056
20100204,-0.031635856,-0.036704442,-0.082713354,-0.026890326,-0.058031736,-0.037985396,-0.0813413
20100205,0.00289293,0.017600204,0.022009015,0.012428446,0.012500542,0.006785923,0.041853782
20100208,-0.008902803,-0.00687961,0.009478933,-0.004781413,-0.021978773,-0.018921895,-0.001853717
20100209,0.012955842,0.010607541,0.01604361,0.010218612,0.009478933,0.052739498,0.010293836
20100210,-0.00223507,-0.005489037,0.013175816,-0.005693175,0.006269307,-0.007124318,-0.024414626
20100211,0.009633883,0.018051094,0.025841221,0.022995564,0.003120127,0.054908551,0.031066403
20100212,-0.002748366,0.008570171,0.003819696,-0.003587427,-0.009389948,0.000889604,0.020828571
20100216,0.017840653,0.014958561,0.023855189,-0.017960325,0.04006747,0.016237456,0.020672837
20100217,0.004229005,-0.004187756,-0.003728944,-0.010434248,0.029763636,0.006630966,-0.013791669
20100218,0.006563157,0.001864261,-0.010012963,0.015103368,0.005847868,0.005376521,-0.004754284
20100219,0.002184235,-0.006218294,-0.00251917,-0.004754284,-0.002919257,0.007582182,0.000376929
20100222,-0.001046405,-0.006237412,-0.003790174,0.00416133,0.01162813,-0.003784151,-0.016447522
20100223,-0.012176644,-0.016891868,-0.014021848,-0.006546381,-0.032308339,-0.023891134,-0.037157882
20100224,0.009673519,0.018088414,0.032831112,0.020932381,0.029414132,0.005281031,0.049380466
20100225,-0.002083208,0.006675668,-0.020076185,-0.012777283,-0.017544,-0.002989464,0.016621101
20100226,0.001404392,0.01288661,0.002531792,0.00169057,0.002945657,0.004567553,0.02093434
20100301,0.010107258,0.021132135,0.037225455,0.050558124,-0.002945333,0.013925587,-0.002190397
20100302,0.002327732,-0.000670225,0.020494545,0.007917573,0.002945657,0.005172599,0.027619058
20100303,0.000429109,0.002295364,-0.003586424,0.002863895,0,0.007197039,-0.011701193
20100304,0.003729156,0.006570368,0.017804554,0.020754135,0.008785296,-0.002051102,0.005412327
20100305,0.013910283,0.038360728,0.012857981,0.002952637,0.020202547,0.01325674,0.008451188
20100308,-0.000175611,0.000593824,0.003477945,0.009265938,0.016997717,-0.005417649,0.009626516
20100309,0.001711272,0.017824201,-0.00115767,-0.009964481,0.07049015,0.00457253,-0.016064343
20100310,0.004514355,0.008127879,0.033051724,0.013033691,0.035993396,-0.006781945,-0.000779304
20100311,0.004033374,0.002930701,0.003357358,0.023250598,0.054067642,0.002039918,0.017322102
20100312,-0.00021737,0.004866141,-0.002237501,-0.013263574,-0.051544905,0.024485762,0.003632395
20100315,0.000452093,-0.012254784,-0.001120628,-0.005247745,-0.020356801,-0.014854788,-0.000859369
20100316,0.007749015,0.002721294,0.052414066,0.005020377,0.040307622,-0.000336056,0.000572836
20100317,0.005804796,-0.001471082,0.028318227,-0.003420844,0,0.01286884,0.005298936
20100318,-0.000325899,0.002362208,-0.029383498,0.010753968,-0.007434568,-0.007501063,-0.016303178
20100319,-0.005099427,-0.010741484,-0.030272627,-0.018319787,-0.030305611,-0.006714492,0.002409096
20100322,0.00508236,0.011186201,0.021716481,0.000920576,0.035267718,0.009721592,-9.60E-05
20100323,0.007145378,0.015934371,0.01492605,-0.009317271,0.022032492,0.04021445,-0.003278368
20100324,-0.005508448,0.004413247,-0.02355526,-0.00948282,0.00483131,-0.005623784,0.026404318
20100325,-0.001705622,-0.011929879,-0.021906198,0.050929778,0.028505821,0.00128817,0.002974572
20100326,0.000737451,0.018577367,-0.001107613,0.002446006,0.009324392,0.004816383,-0.013059911
20100329,0.005667146,0.006432269,0.009928548,0.000443901,-0.030626232,0.01651881,-0.000190018
20100330,4.27E-05,0.014757569,0.017410553,0.010740118,-0.021766174,-0.005053749,0.001614696
20100331,-0.003278243,-0.003589434,0,-0.005940611,-0.009828138,-0.004920084,-0.000127008
20100401,0.007386454,0.004119503,0.010729235,-0.029600813,0.031594593,0.017975469,0.011323645
20100405,0.007896729,0.010622382,0.016931844,-0.002430952,0.018958153,0.015506156,-0.008133991
20100406,0.001682879,0.004393335,-0.019068657,0.030483617,0.007017321,0.004605379,-0.000694241
20100407,-0.005894043,0.004415238,0.032617227,-0.005102998,0.016185308,-0.012638531,-0.008206582
20100408,0.003368662,-0.002705657,-0.025158846,0.0441652,0.024916002,0.000154988,-0.008113828
20100409,0.006661669,0.00763875,-0.012820837,-0.006405471,0.017738734,0.012177552,0.001057441
20100412,0.00176505,0.002065865,0.012820465,0.008106057,0.019586918,0.022122483,-0.005172354
20100413,0.000685166,0.000577833,0.014752643,-0.007392256,-0.004319315,-0.008124918,-0.000934436
20100414,0.011088362,0.013357392,0.033936584,0.028971251,0.064944689,0.016333873,0.029446175
20100415,0.000842184,0.013061328,0.026934001,0.010617435,-0.024642139,0.013874305,0.005151707
20100416,-0.016257983,-0.006124718,-0.035056356,-0.025342424,-0.053374406,-0.019837468,-0.028202992
20100419,0.004511141,-0.001334891,-0.023724207,0.001820342,0.067822187,0.001643648,0.02804698
20100420,0.008026045,-0.01008872,0.019638888,0.012350419,0.01827499,0.007584167,-0.002213448
20100421,-0.001019517,0.058093421,0.001023476,0.015346636,-0.00808056,0.003697157,0.006657788
20100422,0.002261321,0.027583065,0.008146725,0.024687735,-0.012244661,-0.003548288,0.046854005
20100423,0.007098268,0.016231553,-0.01019378,-0.043994731,-0.00205511,0.018637243,-0.0092446
20100426,-0.004305704,-0.004923099,0.021287798,0.023940134,-0.052810234,0.040879913,0.020367174
20100427,-0.02365964,-0.028071339,-0.039902626,-0.035212756,-0.060353159,-0.044521538,-0.025156795
20100428,0.006441958,-0.001680411,-0.003136915,-0.018978967,0.025030117,0.006400473,-0.008891412
20100429,0.01286018,0.026555267,0.017644418,0.016934793,0.024418429,0.025480595,0.003596525
20100430,-0.01678781,-0.028507505,-0.069212896,-0.033213513,-0.042559962,-0.038321997,-0.006749728
20100503,0.013035258,0.019945754,0.023966495,0.002840961,0.009111365,0.026807448,-0.000972473
20100504,-0.0241272,-0.02921977,-0.067917022,-0.057325134,-0.034605938,-0.047432336,-0.020888657
20100505,-0.006608342,-0.010472647,-0.011587881,0.008437306,-0.018957564,-0.011155997,0.007791567
20100506,-0.032888441,-0.038772014,-0.036799886,-0.017101399,-0.034066738,-0.038008248,-0.010154382
20100507,-0.015426646,-0.043108983,0.013213318,-0.029408214,-0.009950341,-0.022293667,-0.0194795
20100510,0.043034704,0.074056828,0.070264596,0.049254818,0.053540767,0.071308987,0.054967237
20100511,-0.003403076,0.009911716,0.008859637,-0.006342068,-0.011918747,-0.009340487,-0.011476605
20100512,0.013645992,0.021481609,0.045266822,0.025802241,0.002395129,0.030996603,0.000151988
20100513,-0.0122195,-0.014334246,-0.007403337,-0.018090654,-0.021766174,-0.018362565,-0.016536985
20100514,-0.018978981,-0.01772822,-0.068082928,-0.022593318,-0.027263289,-0.030808753,-0.026406606
